"GPOName;""SettingCategory"";""SettingPath"";""SettingName"";""SettingStatus"";""Type"";""Statement"";""Value"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeBatchLogonRight"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeChangeNotifyPrivilege"";""BUILTIN\Pre-Windows 2000 Compatible Access"";;;""SID: S-1-5-32-554"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeChangeNotifyPrivilege"";""NT AUTHORITY\Authenticated Users"";;;""SID: S-1-5-11"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeChangeNotifyPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeChangeNotifyPrivilege"";""NT AUTHORITY\NETWORK SERVICE"";;;""SID: S-1-5-20"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeChangeNotifyPrivilege"";""NT AUTHORITY\LOCAL SERVICE"";;;""SID: S-1-5-19"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeChangeNotifyPrivilege"";""Everyone"";;;""SID: S-1-1-0"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeCreatePagefilePrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeDebugPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeEnableDelegationPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeIncreaseBasePriorityPrivilege"";""Window Manager\Window Manager Group"";;;""SID: S-1-5-90-0"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeIncreaseBasePriorityPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeIncreaseQuotaPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeIncreaseQuotaPrivilege"";""NT AUTHORITY\NETWORK SERVICE"";;;""SID: S-1-5-20"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeIncreaseQuotaPrivilege"";""NT AUTHORITY\LOCAL SERVICE"";;;""SID: S-1-5-19"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeInteractiveLogonRight"";""NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS"";;;""SID: S-1-5-9"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeInteractiveLogonRight"";""BUILTIN\Print Operators"";;;""SID: S-1-5-32-550"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeInteractiveLogonRight"";""BUILTIN\Server Operators"";;;""SID: S-1-5-32-549"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeInteractiveLogonRight"";""BUILTIN\Account Operators"";;;""SID: S-1-5-32-548"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeInteractiveLogonRight"";""BUILTIN\Backup Operators"";;;""SID: S-1-5-32-551"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeInteractiveLogonRight"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeLoadDriverPrivilege"";""BUILTIN\Print Operators"";;;""SID: S-1-5-32-550"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeLoadDriverPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeMachineAccountPrivilege"";""NT AUTHORITY\Authenticated Users"";;;""SID: S-1-5-11"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeNetworkLogonRight"";""BUILTIN\Pre-Windows 2000 Compatible Access"";;;""SID: S-1-5-32-554"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeNetworkLogonRight"";""NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS"";;;""SID: S-1-5-9"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeNetworkLogonRight"";""NT AUTHORITY\Authenticated Users"";;;""SID: S-1-5-11"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeNetworkLogonRight"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeNetworkLogonRight"";""Everyone"";;;""SID: S-1-1-0"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeProfileSingleProcessPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeRemoteShutdownPrivilege"";""BUILTIN\Server Operators"";;;""SID: S-1-5-32-549"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeRemoteShutdownPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeRestorePrivilege"";""BUILTIN\Server Operators"";;;""SID: S-1-5-32-549"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeRestorePrivilege"";""BUILTIN\Backup Operators"";;;""SID: S-1-5-32-551"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeRestorePrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSecurityPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeShutdownPrivilege"";""BUILTIN\Print Operators"";;;""SID: S-1-5-32-550"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeShutdownPrivilege"";""BUILTIN\Server Operators"";;;""SID: S-1-5-32-549"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeShutdownPrivilege"";""BUILTIN\Backup Operators"";;;""SID: S-1-5-32-551"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeShutdownPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSystemEnvironmentPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSystemProfilePrivilege"";""NT SERVICE\WdiServiceHost"";;;""SID: S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSystemProfilePrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSystemTimePrivilege"";""BUILTIN\Server Operators"";;;""SID: S-1-5-32-549"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSystemTimePrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeSystemTimePrivilege"";""NT AUTHORITY\LOCAL SERVICE"";;;""SID: S-1-5-19"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeTakeOwnershipPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeUndockPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Policy;""Account Settings"";""Password"";""ClearTextPassword"";;;;""false"""
"Default Domain Policy;""Account Settings"";""Account Lockout"";""LockoutBadCount"";;;;""0"""
"Default Domain Policy;""Account Settings"";""Password"";""MaximumPasswordAge"";;;;""42"""
"Default Domain Policy;""Account Settings"";""Password"";""MinimumPasswordAge"";;;;""1"""
"Default Domain Policy;""Account Settings"";""Password"";""MinimumPasswordLength"";;;;""7"""
"Default Domain Policy;""Account Settings"";""Password"";""PasswordComplexity"";;;;""true"""
"Default Domain Policy;""Account Settings"";""Password"";""PasswordHistorySize"";;;;""24"""
"Default Domain Policy;""Account Settings"";""Kerberos"";""MaxClockSkew"";;;;""5"""
"Default Domain Policy;""Account Settings"";""Kerberos"";""MaxRenewAge"";;;;""7"""
"Default Domain Policy;""Account Settings"";""Kerberos"";""MaxServiceAge"";;;;""600"""
"Default Domain Policy;""Account Settings"";""Kerberos"";""MaxTicketAge"";;;;""10"""
"Default Domain Policy;""Account Settings"";""Kerberos"";""TicketValidateClient"";;;;""true"""
"Default Domain Policy;""Security Option"";""Reg Path: MACHINE\System\CurrentControlSet\Control\Lsa\NoLMHash"";""Network security: Do not store LAN Manager hash value on next password change"";""true"";;;"
"Default Domain Policy;""Security Option"";;""ForceLogoffWhenHourExpire"";""Disabled"";;;"
"Default Domain Policy;""Security Option"";;""LSAAnonymousNameLookup"";""Disabled"";;;"
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Enabled"";""Numeric"";""System.Object[]"";"
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Disabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Enabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Disabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Disabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Disabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Enabled"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-S1-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""00:00"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Enabled"";""Numeric"";""System.Object[]"";"
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Disabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Enabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Disabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Disabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Disabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Enabled"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-S1-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""01:00"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Enabled"";""Numeric"";""System.Object[]"";"
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Disabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Disabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Disabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Enabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Disabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Enabled"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-S3-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""00:00"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Enabled"";""Numeric"";""System.Object[]"";"
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Disabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Disabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Disabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Enabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Disabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Enabled"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-S3-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""00:00"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Enabled"";""Numeric"";""System.Object[]"";"
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Disabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Disabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Disabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Disabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Enabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Enabled"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-S4-Thu-0h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""00:00"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Enabled"";""Numeric"";""System.Object[]"";"
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Disabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Disabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Disabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Disabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Enabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Enabled"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-S4-Thu-1h-Srv;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""01:00"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Absolute Max Cache Size (in GB)"";""Enabled"";""Numeric"";""The default value is 10GB"";"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Allow uploads while the device is on battery while under set Battery level (percentage)"";""Enabled"";""Numeric"";""The default value is 0 (unlimited)"";"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Download Mode"";""Enabled"";""DropDownList"";""Download Mode:"";""LAN (1)"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Enable Peer Caching while the device connects via VPN"";""Disabled"";;;"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Max Cache Size (percentage)"";""Enabled"";""Numeric"";""The default value is 20%"";"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Minimum disk size allowed to use Peer Caching (in GB)"";""Enabled"";""Numeric"";""The default value is 32GB"";"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Delivery Optimization"";""Select a method to restrict Peer Selection"";""Enabled"";""DropDownList"";""Restrict Peer Selection By:"";""Subnet"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Maintenance Scheduler"";""Automatic Maintenance Activation Boundary"";""Enabled"";;;"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Allow Automatic Updates immediate installation"";""Enabled"";;;"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Allow updates to be downloaded automatically over metered connections"";""Disabled"";;;"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Always automatically restart at the scheduled time"";""Disabled"";;;"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Automatic Updates detection frequency"";""Enabled"";""Numeric"";""Check for updates at the following"";"
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install during automatic maintenance"";""Disabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Every week"";""Enabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""First week of the month"";""Enabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Second week of the month"";""Enabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Third week of the month"";""Enabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Fourth week of the month"";""Enabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""Checkbox"";""Install updates for other Microsoft products"";""Disabled"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Configure automatic updating:"";""4 - Auto download and schedule the install"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install day: "";""5 - Every Thursday"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure Automatic Updates"";""Enabled"";""DropDownList"";""Scheduled install time:"";""13:00"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure auto-restart reminder notifications for updates"";""Enabled"";""DropDownList"";""Period (min): "";""60"""
"HAD-Auto-Update-Win10-11;""Administrative Templates"";""Windows Components/Windows Update"";""Configure auto-restart required notification for updates"";""Enabled"";""DropDownList"";""Method: "";""2 - User Action"""
